19/03/21 03:53:15 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
19/03/21 03:53:16 INFO client.AHSProxy: Connecting to Application History server at hadoop-cluster-1-m/10.138.0.3:10200
19/03/21 03:53:16 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
19/03/21 03:53:17 INFO input.FileInputFormat: Total input files to process : 74
19/03/21 03:53:17 INFO mapreduce.JobSubmitter: number of splits:74
19/03/21 03:53:17 INFO Configuration.deprecation: yarn.resourcemanager.system-metrics-publisher.enabled is deprecated. Instead, use yarn.system-metrics-publisher.enabled
19/03/21 03:53:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1553057637959_0004
19/03/21 03:53:18 INFO impl.YarnClientImpl: Submitted application application_1553057637959_0004
19/03/21 03:53:18 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1553057637959_0004/
19/03/21 03:53:18 INFO mapreduce.Job: Running job: job_1553057637959_0004
19/03/21 03:53:25 INFO mapreduce.Job: Job job_1553057637959_0004 running in uber mode : false
19/03/21 03:59:04 INFO mapreduce.Job:  map 91% reduce 0%
19/03/21 03:59:07 INFO mapreduce.Job:  map 93% reduce 0%
19/03/21 03:59:09 INFO mapreduce.Job:  map 94% reduce 0%
19/03/21 03:59:13 INFO mapreduce.Job:  map 95% reduce 0%
19/03/21 03:59:16 INFO mapreduce.Job:  map 96% reduce 0%
19/03/21 03:59:21 INFO mapreduce.Job:  map 99% reduce 0%
19/03/21 03:59:26 INFO mapreduce.Job:  map 100% reduce 0%
19/03/21 03:59:41 INFO mapreduce.Job:  map 100% reduce 11%
19/03/21 03:59:43 INFO mapreduce.Job:  map 100% reduce 15%
19/03/21 03:59:44 INFO mapreduce.Job:  map 100% reduce 18%
19/03/21 03:59:45 INFO mapreduce.Job:  map 100% reduce 21%
19/03/21 03:59:46 INFO mapreduce.Job:  map 100% reduce 28%
19/03/21 03:59:47 INFO mapreduce.Job:  map 100% reduce 37%
19/03/21 03:59:48 INFO mapreduce.Job:  map 100% reduce 41%
19/03/21 03:59:50 INFO mapreduce.Job:  map 100% reduce 42%
19/03/21 03:59:52 INFO mapreduce.Job:  map 100% reduce 43%
19/03/21 03:59:53 INFO mapreduce.Job:  map 100% reduce 45%
19/03/21 03:59:55 INFO mapreduce.Job:  map 100% reduce 46%
19/03/21 03:59:58 INFO mapreduce.Job:  map 100% reduce 47%
19/03/21 03:59:59 INFO mapreduce.Job:  map 100% reduce 50%
19/03/21 04:00:01 INFO mapreduce.Job:  map 100% reduce 51%
19/03/21 04:00:04 INFO mapreduce.Job:  map 100% reduce 52%
19/03/21 04:00:05 INFO mapreduce.Job:  map 100% reduce 54%
19/03/21 04:00:07 INFO mapreduce.Job:  map 100% reduce 55%
19/03/21 04:00:10 INFO mapreduce.Job:  map 100% reduce 56%
19/03/21 04:00:11 INFO mapreduce.Job:  map 100% reduce 57%
19/03/21 04:00:12 INFO mapreduce.Job:  map 100% reduce 58%
19/03/21 04:00:16 INFO mapreduce.Job:  map 100% reduce 59%
19/03/21 04:00:17 INFO mapreduce.Job:  map 100% reduce 61%
19/03/21 04:00:19 INFO mapreduce.Job:  map 100% reduce 62%
19/03/21 04:00:23 INFO mapreduce.Job:  map 100% reduce 64%
19/03/21 04:00:25 INFO mapreduce.Job:  map 100% reduce 65%
19/03/21 04:00:29 INFO mapreduce.Job:  map 100% reduce 68%
19/03/21 04:00:30 INFO mapreduce.Job:  map 100% reduce 69%
19/03/21 04:00:35 INFO mapreduce.Job:  map 100% reduce 74%
19/03/21 04:00:38 INFO mapreduce.Job:  map 100% reduce 75%
19/03/21 04:00:41 INFO mapreduce.Job:  map 100% reduce 79%
19/03/21 04:00:43 INFO mapreduce.Job:  map 100% reduce 80%
19/03/21 04:00:47 INFO mapreduce.Job:  map 100% reduce 83%
19/03/21 04:00:49 INFO mapreduce.Job:  map 100% reduce 84%
19/03/21 04:00:53 INFO mapreduce.Job:  map 100% reduce 86%
19/03/21 04:00:55 INFO mapreduce.Job:  map 100% reduce 87%
19/03/21 04:00:58 INFO mapreduce.Job:  map 100% reduce 88%
19/03/21 04:01:00 INFO mapreduce.Job:  map 100% reduce 89%
19/03/21 04:01:02 INFO mapreduce.Job:  map 100% reduce 90%
19/03/21 04:01:05 INFO mapreduce.Job:  map 100% reduce 91%
19/03/21 04:01:06 INFO mapreduce.Job:  map 100% reduce 92%
19/03/21 04:01:11 INFO mapreduce.Job:  map 100% reduce 93%
19/03/21 04:01:12 INFO mapreduce.Job:  map 100% reduce 94%
19/03/21 04:01:17 INFO mapreduce.Job:  map 100% reduce 95%
19/03/21 04:01:20 INFO mapreduce.Job:  map 100% reduce 96%
19/03/21 04:01:23 INFO mapreduce.Job:  map 100% reduce 97%
19/03/21 04:01:29 INFO mapreduce.Job:  map 100% reduce 98%
19/03/21 04:01:40 INFO mapreduce.Job:  map 100% reduce 99%
19/03/21 04:01:54 INFO mapreduce.Job:  map 100% reduce 100%
19/03/21 04:02:02 INFO mapreduce.Job: Job job_1553057637959_0004 completed successfully
19/03/21 04:02:02 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=19800595896
		FILE: Number of bytes written=30134392941
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=91426620
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10508
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Launched map tasks=75
		Launched reduce tasks=11
		Rack-local map tasks=75
		Total time spent by all maps in occupied slots (ms)=11291676
		Total time spent by all reduces in occupied slots (ms)=3602418
		Total time spent by all map tasks (ms)=3763892
		Total time spent by all reduce tasks (ms)=1200806
		Total vcore-milliseconds taken by all map tasks=3763892
		Total vcore-milliseconds taken by all reduce tasks=1200806
		Total megabyte-milliseconds taken by all map tasks=11562676224
		Total megabyte-milliseconds taken by all reduce tasks=3688876032
	Map-Reduce Framework
		Map input records=74
		Map output records=542247078
		Map output bytes=9234211755
		Map output materialized bytes=10318710795
		Input split bytes=10508
		Combine input records=0
		Combine output records=0
		Reduce input groups=1076757
		Reduce shuffle bytes=10318710795
		Reduce input records=542247078
		Reduce output records=1076757
		Spilled Records=1582634577
		Shuffled Maps =814
		Failed Shuffles=0
		Merged Map outputs=814
		GC time elapsed (ms)=166198
		CPU time spent (ms)=3579370
		Physical memory (bytes) snapshot=144137650176
		Virtual memory (bytes) snapshot=374721142784
		Total committed heap usage (bytes)=143274803200
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=3358558058
	File Output Format Counters 
		Bytes Written=91426620
Job output is complete

